name,album,artists,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Take It Off,Take It Off,"FISHER, Aatig",2023-04-21,194604,71,0.883,0.000509,0.706,0.265,0.363,-6.609,0.201,127.015,4
Eat Your Man (with Nelly Furtado),Eat Your Man (with Nelly Furtado),"Dom Dolla, Nelly Furtado",2023-06-02,197164,77,0.738,0.053,0.883,0.193,0.102,-7.989,0.0818,125.04,4
Feel Your Ghost,Feel Your Ghost,Mathame,2023-05-19,205259,74,0.712,0.0384,0.882,4.04e-05,0.477,-4.691,0.0782,133.021,4
Shadows,Shadows,"Kungs, Carlita",2023-05-26,225518,67,0.745,0.0185,0.868,0.906,0.671,-6.105,0.0464,123.988,4
On + On (with Justine Skye),Breathwork,Austin Millz,2023-06-16,169655,55,0.672,0.348,0.606,9.95e-06,0.19,-9.903,0.279,116.1,4
Beggin',Beggin',"Chris Lake, Aluna",2023-04-20,183397,77,0.817,0.156,0.67,0.168,0.111,-6.315,0.0545,125.972,4
Welcome To The Opera (with Grimes),Welcome To The Opera (with Grimes),"Anyma, Grimes",2023-06-08,245280,69,0.455,0.0073,0.897,0.259,0.429,-6.345,0.0507,124.977,4
Upside Down (feat. Poppy Baskcomb),Upside Down (feat. Poppy Baskcomb),"MEDUZA, Poppy Baskcomb",2023-04-14,174374,74,0.548,0.0187,0.857,0.749,0.0731,-6.83,0.0369,127.967,4
Overdrive - Edit,Overdrive EP,Charlotte de Witte,2023-05-17,254836,63,0.715,0.0114,0.786,0.525,0.117,-9.047,0.159,138.002,4
On & On,On & On,"Armin van Buuren, Punctual, Alika",2023-03-29,170578,72,0.681,0.0221,0.933,0.00504,0.266,-2.855,0.104,128.036,4
Where You Are,Where You Are,"John Summit, Hayla",2023-03-03,236000,80,0.56,0.00953,0.832,0.00541,0.546,-6.432,0.0363,126.0,4
Baby Don't Hurt Me,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",2023-04-06,140017,93,0.602,0.00126,0.91,0.000174,0.12,-3.404,0.0308,127.944,4
Hurricane,Hurricane,"Martin Garrix, Sentinel, Bonn",2023-06-02,198867,73,0.434,0.0122,0.66,6.12e-06,0.103,-5.605,0.0359,127.968,4
Crying On The Dancefloor,Crying On The Dancefloor,"Sam Feldt, Jonas Blue, Endless Summer",2023-03-17,173008,82,0.723,0.18,0.698,0.0,0.797,-6.162,0.0659,126.001,4
How You Samba,How You Samba,"Kris Kross Amsterdam, Sofía Reyes, Tinie Tempah",2023-05-12,151680,56,0.566,0.0461,0.704,3.25e-05,0.731,-8.003,0.0752,124.933,4
0800 HEAVEN,0800 HEAVEN,"Nathan Dawe, Joel Corry, Ella Henderson",2023-06-09,159316,58,0.644,0.183,0.836,1.71e-06,0.343,-4.083,0.111,140.015,4
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,2023-06-15,231545,76,0.671,0.12,0.876,0.188,0.0823,-5.681,0.0352,129.998,4
Feels Just Like it,Light Places,LP Giobbi,2023-05-12,241804,61,0.693,0.246,0.526,0.116,0.281,-11.323,0.0361,120.946,4
Your Mind Is Dirty,Your Mind Is Dirty,Mau P,2023-05-19,198799,66,0.652,0.453,0.976,0.888,0.403,-5.009,0.0604,128.012,4
See The Light (feat. Fridayy),See The Light,Swedish House Mafia,2023-05-26,308860,72,0.586,0.0115,0.877,0.841,0.103,-8.164,0.0373,129.012,4
The Feeling,The Feeling,Lost Frequencies,2023-06-09,153449,74,0.615,0.404,0.744,0.0,0.0906,-7.706,0.163,131.837,4
Shit We Do For Love,Shit We Do For Love,"Icona Pop, Yaeger",2023-05-05,167566,61,0.691,0.0466,0.859,0.0172,0.0505,-5.211,0.116,142.046,4
Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2023-03-10,186496,92,0.636,0.0378,0.869,0.0446,0.0808,-5.289,0.0412,143.011,4
Lose Control,Lose Control,James Hype,2023-05-12,173437,70,0.714,0.0338,0.936,0.0239,0.244,-3.693,0.0426,128.011,4
Padam Padam,Padam Padam,Kylie Minogue,2023-05-18,166266,82,0.746,0.201,0.622,0.00113,0.104,-7.923,0.241,128.101,4
Side Effects,Side Effects,"Becky Hill, Lewis Thompson",2023-05-12,153742,77,0.769,0.0488,0.831,0.0,0.0771,-4.162,0.0552,120.976,4
Praising You (feat. Fatboy Slim),Praising You (feat. Fatboy Slim),"Rita Ora, Fatboy Slim",2023-04-19,164693,78,0.689,0.07,0.788,0.0,0.246,-4.978,0.084,122.968,4
Rock My Body,Rock My Body (with INNA & Sash!),"R3HAB, INNA, Sash!",2023-04-28,137419,81,0.662,0.202,0.821,0.0,0.522,-4.103,0.13,124.077,4
